web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,sub-sub-category,sub-sub-category-href,pagination,product-link,product-link-href,name,wholesale-sku,brand,packagesize,age group,color,width,height,construction,image-src,wheelbase,length,gender,easternprice,Diameter,Angle,Durometer
"1752767490-1","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","TEN/DST ASSEMBLY 5.25 RAW/BLK W/52mm DISSENT","https://www.easternskatesupply.com/ten-dst-assembly-5-25-raw-blk-w-52mm-dissent.html","TEN/DST ASSEMBLY 5.25 RAW/BLK W/52mm DISSENT","1TTEN00D520K52D","Tensor","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","Tensor Alloy","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1599570914350_1TTEN00D520K52D.png","","","ALL","$19.50","8MM","",""
"1752767502-2","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","TEN/DST ASSEMBLY 5.25 RAW/BLK W/52mm CLEAN","https://www.easternskatesupply.com/ten-dst-assembly-5-25-raw-blk-w-52mm-clean.html","TEN/DST ASSEMBLY 5.25 RAW/BLK W/52mm CLEAN","1TTEN00D520K2CL","Tensor","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","Tensor Alloy","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1644508876346_1TTEN00D520K2CL.png","","","ALL","$19.50","8MM","",""
"1752767513-3","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","TEN/BLI ASSEMBLY 5.25 RAW/WHT W/52mm OG STRETCH","https://www.easternskatesupply.com/ten-bli-assembly-5-25-raw-wht-w-52mm-og-stretch.html","TEN/BLI ASSEMBLY 5.25 RAW/WHT W/52mm OG STRETCH","1TTEN00B520W52O","Tensor","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","Tensor Alloy","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1599570914350_1TTEN00B520W52O.png","","","ALL","$19.50","8MM","",""
"1752767524-4","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","TEN/ALM ASSEMBLY 5.25 RAW/RED W/52mm REPEAT","https://www.easternskatesupply.com/ten-alm-assembly-5-25-raw-red-w-52mm-repeat.html","TEN/ALM ASSEMBLY 5.25 RAW/RED W/52mm REPEAT","1TTEN00A520R2RP","Tensor","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","Tensor Alloy","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1644508876346_1TTEN00A520R2RP.png","","","ALL","$19.50","8MM","",""
"1752767536-5","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ML ASSEMBLY 7.63 BLK/RAW W/53mm 90a A-CUT WHT 1pc","https://www.easternskatesupply.com/ml-assembly-7-62-blk-raw-w-53mm-90a-a-cut-wht.html","ML ASSEMBLY 7.63 BLK/RAW W/53mm 90a A-CUT WHT 1pc","1TMIN076KH539AW","Mini Logo","1 SINGLE PIECE","All Ages","BLACK","7.63""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1558716913143_1TMIN076KH539AW.png","","","ALL","$19.75","53MM","",""
"1752767548-6","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ML ASSEMBLY 7.63 RAW/RAW W/53mm 90a A-CUT WHT 1pc","https://www.easternskatesupply.com/ml-assembly-7-62-raw-raw-w-53mm-90a-a-cut-wht.html","ML ASSEMBLY 7.63 RAW/RAW W/53mm 90a A-CUT WHT 1pc","1TMIN07600539AW","Mini Logo","1 SINGLE PIECE","All Ages","Raw","7.63""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1558716913143_1TMIN07600539AW.png","","","ALL","$19.75","53MM","",""
"1752767559-7","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ML ASSEMBLY 7.13 BLK/RAW W/53mm 90a A-CUT WHT 1pc","https://www.easternskatesupply.com/ml-assembly-7-13-blk-raw-w-53mm-90a-a-cut-wht.html","ML ASSEMBLY 7.13 BLK/RAW W/53mm 90a A-CUT WHT 1pc","1TMIN071KH539AW","Mini Logo","1 SINGLE PIECE","All Ages","BLACK","7.13""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1558716913143_1TMIN071KH539AW.png","","","ALL","$19.75","53MM","",""
"1752767570-8","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ML ASSEMBLY 7.13 RAW/RAW W/53mm 90a A-CUT WHT 1pc","https://www.easternskatesupply.com/ml-assembly-7-13-raw-raw-w-53mm-90a-a-cut-wht.html","ML ASSEMBLY 7.13 RAW/RAW W/53mm 90a A-CUT WHT 1pc","1TMIN07100539AW","Mini Logo","1 SINGLE PIECE","All Ages","Raw","7.13""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1558716913143_1TMIN07100539AW.png","","","ALL","$19.75","53MM","",""
"1752767582-9","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 5.25 BLK/BLK w/52mm WHITE","https://www.easternskatesupply.com/industrial-comp-pk-5-25-blk-blk-w-52mm-white.html","INS COMPONENT PACK 5.25 BLK/BLK w/52mm WHITE","1TINS0052KK52WW","Industrial","1 QTY KIT","All Ages","WHITE","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1559562013254_1TINS0052KK52WW.png","","","ALL","$34.50","52MM","",""
"1752767594-10","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 5.25 RAW/RAW w/52mm BK/WT SWIRL","https://www.easternskatesupply.com/industrial-comp-pk-5-25-raw-w-blk-wht-swirl-52mm.html","INS COMPONENT PACK 5.25 RAW/RAW w/52mm BK/WT SWIRL","1TINS00520052KW","Industrial","1 QTY KIT","All Ages","Raw","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1549999512959_1TINS00520052KW.png","","","ALL","$34.50","52MM","",""
"1752767606-11","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 5.0 BLK/BLK w/52mm WHITE","https://www.easternskatesupply.com/industrial-comp-pk-5-0-blk-blk-w-52mm-white.html","INS COMPONENT PACK 5.0 BLK/BLK w/52mm WHITE","1TINS0050KK52WW","Industrial","1 QTY KIT","All Ages","BLACK","5.0""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1559571612977_1TINS0050KK52WW.png","","","ALL","$33.50","52MM","",""
"1752767617-12","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 5.0 BLK/BLK w/52mm BK/WT SWIRL","https://www.easternskatesupply.com/industrial-comp-pk-5-0-blk-blk-w-52mm-bk-wt-swirl.html","INS COMPONENT PACK 5.0 BLK/BLK w/52mm BK/WT SWIRL","1TINS0050KK52KW","Industrial","1 QTY KIT","All Ages","BLACK","5.0""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1559571612977_1TINS0050KK52KW.png","","","ALL","$33.50","52MM","",""
"1752767629-13","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 5.0 RAW/RAW w/52mm WHITE","https://www.easternskatesupply.com/industrial-comp-pk-5-0-raw-raw-w-wht-52mm-ppp.html","INS COMPONENT PACK 5.0 RAW/RAW w/52mm WHITE","1TINS00500052WW","Industrial","1 QTY KIT","All Ages","Raw","5.0""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1550230513889_1TINS00500052WW.png","","","ALL","$33.50","52MM","",""
"1752767640-14","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 4.75 BLK/BLK w/52mm WHITE","https://www.easternskatesupply.com/industrial-comp-pk-4-75-blk-blk-w-52mm-white.html","INS COMPONENT PACK 4.75 BLK/BLK w/52mm WHITE","1TINS0047KK52WW","Industrial","1 QTY KIT","All Ages","BLACK","4.75""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1575554416339_1TINS0047KK52WW.png","","","ALL","$33.50","52MM","",""
"1752767652-15","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 4.75 BLK/BLK w/52mm BK/WT SWIRL","https://www.easternskatesupply.com/industrial-comp-pk-4-75-blk-blk-w-52mm-bk-wt-swirl.html","INS COMPONENT PACK 4.75 BLK/BLK w/52mm BK/WT SWIRL","1TINS0047KK52KW","Industrial","1 QTY KIT","All Ages","BLACK","4.75""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1575554416339_1TINS0047KK52KW.png","","","ALL","$33.50","52MM","",""
"1752767664-16","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 4.75 RAW/RAW w/52mm WHITE","https://www.easternskatesupply.com/industrial-comp-pk-4-75-raw-raw-w-52mm-white.html","INS COMPONENT PACK 4.75 RAW/RAW w/52mm WHITE","1TINS00470052WW","Industrial","1 QTY KIT","All Ages","Raw","4.75""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1575554416339_1TINS00470052WW.png","","","ALL","$33.50","52MM","",""
"1752767675-17","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 4.75 RAW/RAW w/52mm BK/WT SWIRL","https://www.easternskatesupply.com/industrial-comp-pk-4-75-raw-raw-w-52mm-bk-wt-swirl.html","INS COMPONENT PACK 4.75 RAW/RAW w/52mm BK/WT SWIRL","1TINS00470052KW","Industrial","1 QTY KIT","All Ages","Raw","4.75""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1575554416339_1TINS00470052KW.png","","","ALL","$33.50","52MM","",""
"1752767687-18","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.0 WHT/BLK W/52mm BLACK","https://www.easternskatesupply.com/essentials-comp-pk-5-0-wht-blk-w-blk-52mm-ppp.html","ESSENTIALS COMPONENT PACK 5.0 WHT/BLK W/52mm BLACK","1TESNCOMPO500WK","Essentials","1 SINGLE PIECE","All Ages","WHITE/BLACK","5.0""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/T/1TESNCOMPO500WK.png","","","ALL","$29.50","8MM","",""
"1752767698-19","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.0 BLACK W/52mm WHITE","https://www.easternskatesupply.com/essentials-component-pack-5-0-black-w-52mm-white.html","ESSENTIALS COMPONENT PACK 5.0 BLACK W/52mm WHITE","1TESNCOMPO500KK","Essentials","1 SINGLE PIECE","All Ages","BLACK","","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565881512591_1TESNCOMPO500KK.png","","","ALL","$29.50","8MM","",""
"1752767710-20","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.0 RAW W/52mm WHITE","https://www.easternskatesupply.com/essentials-component-pack-5-0-raw-w-52mm-white.html","ESSENTIALS COMPONENT PACK 5.0 RAW W/52mm WHITE","1TESNCOMPO50000","Essentials","1 SINGLE PIECE","All Ages","Raw","5.0""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565880313362_1TESNCOMPO50000.png","","","ALL","$29.50","8MM","",""
"1752767721-21","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.5 WHT/BLK W/53mm BLK","https://www.easternskatesupply.com/essentials-component-pack-5-5-wht-blk-w-53mm-blk.html","ESSENTIALS COMPONENT PACK 5.5 WHT/BLK W/53mm BLK","1TESNC550WK53KK","Essentials","1 SINGLE PIECE","All Ages","BLACK","5.5""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565880313362_1TESNC550WK53KK.png","","","ALL","$31.50","8MM","",""
"1752767733-22","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.5 BLACK W/53mm WHITE","https://www.easternskatesupply.com/essentials-component-pack-5-5-black-w-53mm-white.html","ESSENTIALS COMPONENT PACK 5.5 BLACK W/53mm WHITE","1TESNC550KK53WW","Essentials","1 SINGLE PIECE","All Ages","BLACK","5.5""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565881512591_1TESNC550KK53WW.png","","","ALL","$31.50","8MM","",""
"1752767744-23","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.5 RAW W/53mm WHITE","https://www.easternskatesupply.com/essentials-component-pack-5-5-raw-w-53mm-white.html","ESSENTIALS COMPONENT PACK 5.5 RAW W/53mm WHITE","1TESNC5500053WW","Essentials","1 SINGLE PIECE","All Ages","Raw","5.5""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565880313362_1TESNC5500053WW.png","","","ALL","$31.00","8MM","",""
"1752767755-24","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.25 WHT/BLK W/53mm BLK","https://www.easternskatesupply.com/essentials-component-pack-5-25-wht-blk-w-53mm-blk.html","ESSENTIALS COMPONENT PACK 5.25 WHT/BLK W/53mm BLK","1TESNC525WK53KK","Essentials","1 SINGLE PIECE","All Ages","BLACK","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565880313362_1TESNC525WK53KK.png","","","ALL","$31.00","8MM","",""
"1752767766-25","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.25 BLACK W/53mm WHITE","https://www.easternskatesupply.com/essentials-component-pack-5-25-black-w-53mm-white.html","ESSENTIALS COMPONENT PACK 5.25 BLACK W/53mm WHITE","1TESNC525KK53WW","Essentials","1 SINGLE PIECE","All Ages","BLACK","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565881512591_1TESNC525KK53WW.png","","","ALL","$31.00","8MM","",""
"1752767778-26","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS COMPONENT PACK 5.25 RAW W/53mm WHITE","https://www.easternskatesupply.com/essentials-component-pack-5-25-raw-w-53mm-white.html","ESSENTIALS COMPONENT PACK 5.25 RAW W/53mm WHITE","1TESNC5250053WW","Essentials","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565880313362_1TESNC5250053WW.png","","","ALL","$30.50","8MM","",""
"1752767790-27","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS ASSEMBLY(1:TRK/2:WHLS) 5.5 BLK+WHT 54mm","https://www.easternskatesupply.com/essentials-assembly-5-5-black-w-wht-54mm.html","ESSENTIALS ASSEMBLY(1:TRK/2:WHLS) 5.5 BLK+WHT 54mm","1TESNA55KK054WW","Essentials","1 SINGLE PIECE","All Ages","BLACK","5.5""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/T/1TESNA55KK054WW.png","","","ALL","$13.00","54MM","",""
"1752767801-28","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS ASSEMBLY(1:TRK/2:WHLS) 5.2 RAW+WHT 53mm","https://www.easternskatesupply.com/essentials-assembly-5-25-raw-w-wht-53mm.html","ESSENTIALS ASSEMBLY(1:TRK/2:WHLS) 5.2 RAW+WHT 53mm","1TESNA5200053WW","Essentials","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/T/1TESNA5200053WW.png","","","ALL","$11.50","53MM","",""
"1752767812-29","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ESSENTIALS ASSEMBLY(1:TRK/2:WHLS) 5.2 RAW+WHT 52mm","https://www.easternskatesupply.com/essentials-assembly-5-25-raw-w-wht-52mm.html","ESSENTIALS ASSEMBLY(1:TRK/2:WHLS) 5.2 RAW+WHT 52mm","1TESNA5200052WW","Essentials","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1565871913504_1TESNA5200052WW.png","","","ALL","$11.50","52MM","",""
"1752767824-30","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ELEMENT COMPONENT PACK BUNDLE-4.75 RAW W/52mm","https://www.easternskatesupply.com/element-component-bundle-4-75-raw-w-52mm-section.html","ELEMENT COMPONENT PACK BUNDLE-4.75 RAW W/52mm","1TELE00470052SW","Element","1 QTY KIT","All Ages","Raw","4.75""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1652194880188_1TELE00470052SW.png","","","ALL","$25.00","8MM","",""
"1752767848-31","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Truck Parts","https://www.easternskatesupply.com/skate/components/truck-parts.html","","SLAPPY ST1 CLASSIC BASEPLATE POLISHED","https://www.easternskatesupply.com/slappy-st1-classic-baseplate-polished.html","SLAPPY ST1 CLASSIC BASEPLATE POLISHED","1TSLP00BPST1CHH","Slappy","1 SINGLE PIECE","All Ages","POLISHED, CHROME, FOIL, MIRROR","","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/T/1TSLP00BPST1CHH.png","","","ALL","$7.50","","",""
"1752767860-32","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Truck Parts","https://www.easternskatesupply.com/skate/components/truck-parts.html","","SZ TKP HELI-COIL BASE PLATE 45° RAW 1pc sale","https://www.easternskatesupply.com/sz-tkp-heli-coil-base-plate-45-raw-1pc-sale.html","SZ TKP HELI-COIL BASE PLATE 45° RAW 1pc sale","1TSFR00I4500000","Surf-Rodz","1 SINGLE PIECE","All Ages","Raw","","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/T/1TSFR00I4500000.png","","","ALL","$9.00","8MM","",""
"1752767871-33","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Truck Parts","https://www.easternskatesupply.com/skate/components/truck-parts.html","","SZ RKP BASE PLATE 50° BLACK 1pc sale","https://www.easternskatesupply.com/sz-rkp-base-plate-50-black-1pc-sale.html","SZ RKP BASE PLATE 50° BLACK 1pc sale","1TSFR00B50000KK","Surf-Rodz","1 SINGLE PIECE","All Ages","BLACK","","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/T/1TSFR00B50000KK.png","","","ALL","$12.00","8MM","",""
"1752767883-34","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Truck Parts","https://www.easternskatesupply.com/skate/components/truck-parts.html","","SZ RKP BASE PLATE 50° GOLD 1pc sale","https://www.easternskatesupply.com/sz-rkp-base-plate-50-gold-1pc-sale.html","SZ RKP BASE PLATE 50° GOLD 1pc sale","1TSFR00B50000DD","Surf-Rodz","1 SINGLE PIECE","All Ages","GOLD","","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/T/1TSFR00B50000DD.png","","","ALL","$12.00","8MM","",""
"1752767895-35","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Truck Parts","https://www.easternskatesupply.com/skate/components/truck-parts.html","","SZ RKP BASE PLATE 50° SAFFRON 1pc sale","https://www.easternskatesupply.com/sz-rkp-base-plate-50-saffron-1pc-sale.html","SZ RKP BASE PLATE 50° SAFFRON 1pc sale","1TSFR00B50000D2","Surf-Rodz","1 SINGLE PIECE","All Ages","SAFFRON","","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/placeholder/default/no-image_1.jpg","","","ALL","$60.00","8MM","",""
"1752767907-36","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Truck Parts","https://www.easternskatesupply.com/skate/components/truck-parts.html","","SZ RKP BASE PLATE 50° BLUE 1pc sale","https://www.easternskatesupply.com/sz-rkp-base-plate-50-blue-1pc-sale.html","SZ RKP BASE PLATE 50° BLUE 1pc sale","1TSFR00B50000BB","Surf-Rodz","1 SINGLE PIECE","All Ages","BLUE, DENIM","","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/T/1TSFR00B50000BB_1.png","","","ALL","$12.00","8MM","",""
"1752767918-37","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Truck Parts","https://www.easternskatesupply.com/skate/components/truck-parts.html","","SZ RKP BASE PLATE 45° GREEN 1pc sale","https://www.easternskatesupply.com/sz-rkp-base-plate-45-green-1pc-sale.html","SZ RKP BASE PLATE 45° GREEN 1pc sale","1TSFR00B45000GG","Surf-Rodz","1 SINGLE PIECE","All Ages","GREEN","","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1578508515295_1TSFR00B45000GG.png","","","ALL","$12.00","8MM","",""
"1752767929-38","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Truck Parts","https://www.easternskatesupply.com/skate/components/truck-parts.html","","SZ RKP BASE PLATE 45° RAW 1pc sale","https://www.easternskatesupply.com/sz-rkp-base-plate-45-raw-1pc-sale.html","SZ RKP BASE PLATE 45° RAW 1pc sale","1TSFR00B4500000","Surf-Rodz","1 SINGLE PIECE","All Ages","Raw","","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1578440416974_1TSFR00B4500000.png","","","ALL","$11.00","8MM","",""
