web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,sub-sub-category,sub-sub-category-href,pagination,product-link,product-link-href,name,wholesale-sku,brand,packagesize,age group,color,width,height,construction,image-src,wheelbase,length,gender,easternprice,Diameter,Angle,Durometer
"1752773347-499","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP GRIP 10""x34"" 20/BOX BLACK","https://www.easternskatesupply.com/jessup-grip-10-x34-20-box-black.html","JESSUP GRIP 10""x34"" 20/BOX BLACK","1GJEST20BX1034K","Jessup","20 PACK","All Ages","BLACK","10.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1618253124897_1GJEST20BX1034K.png","","34.0""","ALL","$92.00","","",""
"1752773359-500","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP GRIP 9""x33"" 100/BOX BLACK","https://www.easternskatesupply.com/jessup-grip-9x33-100-box-black.html","JESSUP GRIP 9""x33"" 100/BOX BLACK","1GJEST100B90000","Jessup","CASE OF 100 PIECES","All Ages","Raw","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/G/1GJEST100B90000.png","","33.0""","ALL","$360.00","","",""
"1752773370-501","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA NBD GRIP 9x33 1pc SHOE MULTICOLOR","https://www.easternskatesupply.com/jessup-ultra-nbd-grip-9x33-1pc-shoe-multicolor.html","JESSUP ULTRA NBD GRIP 9x33 1pc SHOE MULTICOLOR","1GJESSUNBD1SHMT","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1629141939090_1GJESSUNBD1SHMT.png","","33.0""","ALL","$8.00","","",""
"1752773382-502","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA NBD GRIP 9x33 1pc SHOE BLUE","https://www.easternskatesupply.com/jessup-ultra-nbd-grip-9x33-1pc-shoe-blue.html","JESSUP ULTRA NBD GRIP 9x33 1pc SHOE BLUE","1GJESSUNBD1SHBL","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1629141939090_1GJESSUNBD1SHBL.png","","33.0""","ALL","$8.00","","",""
"1752773393-503","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA NBD GRIP 9x33 1pc INFINITY MULTICOLOR","https://www.easternskatesupply.com/jessup-ultra-nbd-grip-9x33-1pc-infinity-multicolor.html","JESSUP ULTRA NBD GRIP 9x33 1pc INFINITY MULTICOLOR","1GJESSUNBD1IFMC","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1629141939090_1GJESSUNBD1IFMC.png","","33.0""","ALL","$8.00","","",""
"1752773405-504","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA NBD GRIP 9x33 1pc INFINITY ENVIRONMNT","https://www.easternskatesupply.com/jessup-ultra-nbd-grip-9x33-1pc-infinity-environmnt.html","JESSUP ULTRA NBD GRIP 9x33 1pc INFINITY ENVIRONMNT","1GJESSUNBD1IFEV","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1629141939090_1GJESSUNBD1IFEV.png","","33.0""","ALL","$8.00","","",""
"1752773417-505","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA NBD GRIP 9x33 1pc BLACK SPECK","https://www.easternskatesupply.com/jessup-ultra-nbd-grip-9x33-1pc-black-speck.html","JESSUP ULTRA NBD GRIP 9x33 1pc BLACK SPECK","1GJESSUNBD1BLAK","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1629141939090_1GJESSUNBD1BLAK.png","","33.0""","ALL","$3.00","","",""
"1752773428-506","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 PJ LADD AUTOGRAPH","https://www.easternskatesupply.com/jessup-ultra-grip-9x33-1pc-pj-ladd-autograph.html","JESSUP ULTRA GRIP 9x33 PJ LADD AUTOGRAPH","1GJESSU019PJAUT","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1628536545865_1GJESSU019PJAUT.png","","33.0""","ALL","$10.00","","",""
"1752773440-507","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 WAINWRIGHT GLITCH RED","https://www.easternskatesupply.com/jessup-ultra-grip-9x33-1pc-wainwright-glitch-red.html","JESSUP ULTRA GRIP 9x33 WAINWRIGHT GLITCH RED","1GJESSU019DWGLR","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1602781217229_1GJESSU019DWGLR.png","","33.0""","ALL","$10.00","","",""
"1752773451-508","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 WAINWRIGHT GLITCH BLU","https://www.easternskatesupply.com/jessup-ultra-grip-9x33-1pc-wainwright-glitch-blu.html","JESSUP ULTRA GRIP 9x33 WAINWRIGHT GLITCH BLU","1GJESSU019DWGLB","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1602781217229_1GJESSU019DWGLB.png","","33.0""","ALL","$10.00","","",""
"1752773462-509","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 10x34 SINGLE SHEET WHITE","https://www.easternskatesupply.com/jessup-ultra-grip-10x34-single-sheet-white.html","JESSUP ULTRA GRIP 10x34 SINGLE SHEET WHITE","1GJESSU0101034W","Jessup","1 SINGLE PIECE","All Ages","WHITE","10.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/G/1GJESSU0101034W.png","","34.0""","ALL","$4.80","","",""
